createdAt;updatedAt;importId;externalId;source;title;subtitle;externalLink;state;types;isbn10;isbn13;releaseDate;description;remoteImageUrl;thumbnailRemoteImageUrl;externalAverageRating;userRating;pages;languages;purchaseDate;series;location;bookcase;shelf;authors;publishers;categories;tags;readingStatus;startReading;endReading
2023-01-26;2023-01-29;544D86EE-67EF-4BC7-91F6-38996A371C1E;EiYqJV65X04C;GOOGLE_BOOKS;Blindness;;http://books.google.no/books?id=EiYqJV65X04C&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;0156007754;9780156007757;1999-01-01;"A stunningly powerful novel of humanity's will to survive against all odds during an epidemic by a winner of the Nobel Prize for Literature.
An International Bestseller - ""This is a shattering work by a literary master.""--Boston Globe
A city is hit by an epidemic of ""white blindness"" which spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations and raping women. There is one eyewitness to this nightmare who guides seven strangers--among them a boy with no mother, a girl with dark glasses, a dog of tears--through the barren streets, and the procession becomes as uncanny as the surroundings are harrowing. A magnificent parable of loss and disorientation, Blindness has swept the reading public with its powerful portrayal of our worst appetites and weaknesses--and humanity's ultimately exhilarating spirit.
""This is a an important book, one that is unafraid to face all of the horror of the century.""--Washington Post
A New York Times Notable Book of the Year
A Los Angeles Times Best Book of the Year
";http://books.google.com/books/content?id=EiYqJV65X04C&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70P7ItNCIJgIOljeGWo7113YH-WoaP1j5ERogX-JcHEy23D5DACJfNndwgh_uO_TMthAOWyRSE9PSB2IQtZH5ExZt7zwm62pODzmuGZ8PwGaBG_aTMIOy14br4QLsKTTTOHvoy0&source=gbs_api;http://books.google.com/books/content?id=EiYqJV65X04C&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70P7ItNCIJgIOljeGWo7113YH-WoaP1j5ERogX-JcHEy23D5DACJfNndwgh_uO_TMthAOWyRSE9PSB2IQtZH5ExZt7zwm62pODzmuGZ8PwGaBG_aTMIOy14br4QLsKTTTOHvoy0&source=gbs_api;3.5;;327;en;;;;;;Saramago,José;Harcourt;"Dystopian;Fiction;Literary;Media Tie-In";;read;2023-01-26;2023-01-29
2021-12-22;2023-01-29;C4AE7098-FD4E-4083-BD85-1E0BE98DF044;L456tgEACAAJ;GOOGLE_BOOKS;Blueprint;;http://books.google.de/books?id=L456tgEACAAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;0241367697;9780241367698;;The blueprint for our individuality lies in the 1% of DNA that differs between people. Our intellectual capacity, our introversion or extraversion, our vulnerability to mental illness, even whether we are a morning person - all of these aspects of our personality are profoundly shaped by our inherited DNA differences.<br> <br> In <i>Blueprint</i>, Robert Plomin, a pioneer in the field of behavioural genetics, draws on a lifetime's worth of research to make the case that DNA is the most important factor shaping who we are. Our families, schools and the environment around us are important, but they are not as influential as our genes. This is why, he argues, teachers and parents should accept children for who they are, rather than trying to mould them in certain directions. Even the environments we choose and the signal events that impact our lives, from divorce to addiction, are influenced by our genetic predispositions. Now, thanks to the DNA revolution, it is becoming possible to predict who we will become, at birth, from our DNA alone. As Plomin shows us, these developments have sweeping implications for how we think about parenting, education, and social mobility.<br> <br> A game-changing book by a leader in the field, <i>Blueprint</i> shows how the DNA present in the single cell with which we all begin our lives can impact our behaviour as adults.;;;4.0;;266;en;;;;;;Plomin,Robert;MIT Press;"Genetics & Genomics;Life Sciences;SCIENCE";;read;2021-12-22;2022-02-19
2023-01-06;2023-01-11;77F8A327-583F-4B7F-A07F-418C84511061;EQlhCgAAQBAJ;GOOGLE_BOOKS;Brave New World;;http://books.google.de/books?id=EQlhCgAAQBAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;0099477467;9780099477464;2004-01-01;Brave new world is a novel with a science-fiction theme written by bestselling author, aldous huxley, and was first published in 1932 it is set in the far future, in 2540 ad and features a utopian view of the society at that time, with a lot of material dedicated to sleep learning, reproductive technology, and classical conditioning the title is derived from a line in shakespeare's the tempestthe book begins with a lengthy introduction, detailing the author's views of how he thinks the entire world will function in the far future, in a global society that he terms the world state the individual story only begins in the 7th chapter, where the reader is properly introduced to the story of bernard and lenina, two inhabitants of the world statebernard has a single friend in life, whose name is helmholtz watson bernard and lenina go on a holiday to new mexico where they meet john the savage and linda, both of whom have lived hard lives due to being ostracised by all the people they lived withit is decided that john and linda would accompany bernard and lenina back to the world state when they return, and the rest of brave new world covers the events that occur on their return journey the export edition of this book was published by rhuk in 2004, and is available as a paperback key features: brave new world is a science fiction novel that was first published in 1932brave new world is the story of a couple, namely bernard and lenina, and how their life changes after a holiday in new mexico;http://books.google.com/books/publisher/content?id=EQlhCgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71WFoU8SfOQ7jpvz30hxk8xWNc9D4cmKhO16eBYpA1vkyjn_Gd8v3nfLi0_qJuK9RiQy7J1pi0OEPiV4plgsdSFqfZPKUA-VgbHnCWBO2p2K1BWFyoIEWlJn5T5zHRmG9aU5cwh&source=gbs_api;http://books.google.com/books/publisher/content?id=EQlhCgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71WFoU8SfOQ7jpvz30hxk8xWNc9D4cmKhO16eBYpA1vkyjn_Gd8v3nfLi0_qJuK9RiQy7J1pi0OEPiV4plgsdSFqfZPKUA-VgbHnCWBO2p2K1BWFyoIEWlJn5T5zHRmG9aU5cwh&source=gbs_api;3.5;;229;en;;;;;;Huxley,Aldous;Vintage;"Classics;Fiction";;read;2023-01-08;2023-01-11
2022-02-19;2022-02-19;81F2D6F0-9DED-4A19-9F9E-0B3AF46CB621;-ZuzDwAAQBAJ;GOOGLE_BOOKS;Breath;;http://books.google.de/books?id=-ZuzDwAAQBAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;0241289092;9780241289099;2020-05-21;<p><b>THE PHENOMENAL INTERNATIONAL BESTSELLER - OVER A MILLION COPIES SOLD WORLDWIDE</b><br><br><b>SHORTLISTED FOR THE ROYAL SOCIETY BOOK PRIZE<br></b><br><b>'Who would have thought something as simple as changing the way we breathe could be so revolutionary for our health, from snoring to allergies to immunity? A fascinating book, full of dazzling revelations' Dr Rangan Chatterjee</b><br><br>There is nothing more essential to our health and wellbeing than breathing: take air in, let it out, repeat 25,000 times a day. Yet, as a species, humans have lost the ability to breathe correctly, with grave consequences. In <i>Breath</i>, journalist James Nestor travels the world to discover the hidden science behind ancient breathing practices to figure out what went wrong and how to fix it.<br><br>Modern research is showing us that making even slight adjustments to the way we inhale and exhale can: <br><br>- jump-start athletic performance<br>- rejuvenate internal organs<br>- halt snoring, allergies, asthma and autoimmune disease, and even straighten scoliotic spines<br><br>None of this should be possible, and yet it is. Drawing on thousands of years of ancient wisdom and cutting-edge studies in pulmonology, psychology, biochemistry and human physiology, Breath turns the conventional wisdom of what we thought we knew about our most basic biological function on its head.<br><br><b>You will never breathe the same again.</b></p>;http://books.google.com/books/publisher/content?id=-ZuzDwAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&imgtk=AFLRE71i-ZCJ4bAOrbdXzVlmL5Bt4Ay-3IZAHOJzJhSQVeq9i8Aeo6pQTPzWsoeijtAQigtuWlKMdTY6BdeK0_XMSvX2RDbPzkvsyIdi-OH41Ten8fzXJXoX4jgCtMzrGwrF-lA1KqNE&source=gbs_api;http://books.google.com/books/publisher/content?id=-ZuzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72rTjchu2uUxX4cQngK-0DhQ3ARP6yzKgztq9OvL5kLb5PH3LtHJnMw_-psG5v9UdKL11ka4GY3_lnZBRJdLnwNbCBwfi9vwdxGh1qfLhrj1diWLIjRcEXiDNRjn0PPdQSKWik0&source=gbs_api;4.0;;304;en;;;;;;Nestor,James;Penguin UK;"Body, Mind & Spirit;Education;Extreme Sports;General;Health & Fitness;Longevity;Mindfulness & Meditation;Personal Growth;Physical Education;Science;Scuba & Snorkeling;Self-Help;Sports & Recreation;Sports Psychology;Water Sports";;read;2022-02-19;2022-02-19
2022-11-21;2022-11-21;1E34A2BC-0D0D-4B8F-9799-1CB2E337B58B;zM4EDAAAQBAJ;GOOGLE_BOOKS;Candide oder der Optimismus;;http://books.google.de/books?id=zM4EDAAAQBAJ&printsec=frontcover&dq=Voltaire+candide&hl=&cd=1&source=gbs_api;BOOKSHELF;PAPERBACK;3842333129;9783842333123;2016-09-26;Candide oder der Optimismus (Candide ou l'optimisme) ist eine 1759 unter dem Pseudonym Docteur Ralph erschienene satirische Novelle des französischen Philosophen Voltaire. Diese Satire wendet sich unter anderem gegen die optimistische Weltanschauung Gottfried Wilhelm Leibniz', der die beste aller möglichen Welten postulierte. Voltaire propagiert Skeptizismus und Pessimismus. Mit Witz, beissendem Spott und Ironie prangert Voltaire in seinem „conte philosophique“ den überheblichen Adel, die kirchliche Inquisition, Krieg, Sklaverei und die naive Utopie des einfachen Mannes von einem sorglosen Leben an. Voltaire (eigentlich François-Marie Arouet, 1694 -1778) war ein französischer Philosoph und Schriftsteller. Er ist einer der meistgelesenen und einflussreichsten Autoren der französischen und europäischen Aufklärung. Mit seiner Kritik an den Missständen des Absolutismus und der Feudalherrschaft sowie am weltanschaulichen Monopol der katholischen Kirche war Voltaire ein Vordenker der Aufklärung und ein wichtiger Wegbereiter der Französischen Revolution. In der Darstellung und Verteidigung dessen, was er für richtig hielt, zeigte er ein umfangreiches Wissen und Einfühlungsvermögen in die Vorstellungen seiner zeitgenössischen Leser. Sein präziser und allgemein verständlicher Stil, sein oft sarkastischer Witz und seine Kunst der Ironie gelten oft als unübertroffen.;http://books.google.com/books/publisher/content?id=zM4EDAAAQBAJ&printsec=frontcover&img=1&zoom=2&imgtk=AFLRE737sZgq9VhcWNinflPhdOFuxxTnB9EiiquprVRZQGLVVG_9d4sbJOiT_g1DH2r9yju6jqoW8-eUBCA_5GeLXAvfglWvrybnamareppjcZNBFwzzH8EPw2EQylYbtk1Jv5N9rXs2&source=gbs_api;http://books.google.com/books/content?id=zM4EDAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;122;de;;;;;;Voltaire;BoD – Books on Demand;Fiction;;read;2022-11-21;2022-11-21
2022-07-03;2022-07-28;E3800F0B-86F3-48F7-B8EA-4292E1C0ABBD;NDBIoYpcOJ4C;GOOGLE_BOOKS;Crusade in Europe;;http://books.google.de/books?id=NDBIoYpcOJ4C&printsec=frontcover&dq=Crusade+in+europe&hl=&cd=1&source=gbs_api;BOOKSHELF;PAPERBACK;0307816575;9780307816573;2013-01-02;A classic of World War II literature, an incredibly revealing work that provides a near comprehensive account of the war and brings to life the legendary general and eventual president of the United States. Five-star General Dwight D. Eisenhower was arguably the single most important military figure of World War II. Crusade in Europe tells the complete story of the war as he planned and executed it. Through Eisenhower's eyes the enormous scope and drama of the war--strategy, battles, moments of great decision--become fully illuminated in all their fateful glory. Penned before his Presidency, this account is deeply human and helped propel him to the highest office. His personal record of the tense first hours after he had issued the order to attack leaves no doubt of his travails and reveals how this great leader handled the ultimate pressure. For historians, his memoir of this world historic period has become an indispensable record of the war and timeless classic.;http://books.google.com/books/content?id=NDBIoYpcOJ4C&printsec=frontcover&img=1&zoom=2&edge=curl&imgtk=AFLRE71cFuH4xlsg9Zz7gVzUNO8GVmnd1fUHfUT_Gz1kSqjqyl9VGwrit_QHBPXpGIBord9h-euMuV5wd9aUoREkGrvS6URrR_ra2QqwnWuU2dzXc43rkV7l2Bto3a-mNG_Qr6QnCxnw&source=gbs_api;http://books.google.com/books/content?id=NDBIoYpcOJ4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4.0;;559;en;;;;;;Eisenhower,Dwight D.;Vintage;Biography & Autobiography;;read;2022-07-08;2022-07-17
2022-03-24;2022-04-03;996B7BFD-5717-4E07-B21C-6DB50D3C9C77;md7sDwAAQBAJ;GOOGLE_BOOKS;Cynical Theories;;http://books.google.de/books?id=md7sDwAAQBAJ&hl=&source=gbs_api;BOOKSHELF;EBOOK;1634312031;9781634312035;2020-05-05;"<p><b><i>Wall Street Journal</i></b><b>, <i>USA Today</i>, and <i>Publishers Weekly</i> Bestseller!</b><br><br> Have you heard that language is violence and that science is sexist? Have you read that certain people shouldn't practice yoga or cook Chinese food? Or been told that being obese is healthy, that there is no such thing as biological sex, or that only white people can be racist? Are you confused by these ideas, and do you wonder how they have managed so quickly to challenge the very logic of Western society?</p><p>In this probing and intrepid volume, Helen Pluckrose and James Lindsay document the evolution of the dogma that informs these ideas, from its coarse origins in French postmodernism to its refinement within activist academic fields. Today this dogma is recognizable as much by its effects, such as cancel culture and social-media dogpiles, as by its tenets, which are all too often embraced as axiomatic in mainstream media: knowledge is a social construct; science and reason are tools of oppression; all human interactions are sites of oppressive power play; and language is dangerous. As Pluckrose and Lindsay warn, the unchecked proliferation of these anti-Enlightenment beliefs present a threat not only to liberal democracy but also to modernity itself.</p><p>While acknowledging the need to challenge the complacency of those who think a just society has been fully achieved, Pluckrose and Lindsay break down how this often-radical activist scholarship does far more harm than good, not least to those marginalized communities it claims to champion. They also detail its alarmingly inconsistent and illiberal ethics. Only through a proper understanding of the evolution of these ideas, they conclude, can those who value science, reason, and consistently liberal ethics successfully challenge this harmful and authoritarian orthodoxy—in the academy, in culture, and beyond.</p>";http://books.google.com/books/publisher/content?id=md7sDwAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&imgtk=AFLRE71q1REGKJgmK07tSdm4GDikDAT8IoXr6mjLPh8lxGwnZX4GPCgvY_Yz-EwyjhMC64x3WmqwnX1ffgtiEk5w5pC1Fs8QLO_4XPIijgNZr-n23tuxGPC7YxDiu1acGWuRv_UmCcyU&source=gbs_api;http://books.google.com/books/publisher/content?id=md7sDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE73TMkD3_QgkE5xocvWGcq5bKKzrXg8rZnZQlc9kLYNe-q7PMKatq270j242wi_vypSzx5_eFBdKFvrk9bZOeJJUvy6UlPJXQdx7LHk-BQky3AoM-7S-jGgTe4nB9p0eRlNjZCs0&source=gbs_api;4.0;;352;en;;;;;;"Lindsay,James A.;Pluckrose,Helen";Pitchstone Publishing (US&CA);"Education;Philosophy, Theory & Social Aspects;Popular Culture;Social Science";;read;2022-03-29;2022-04-03
2022-09-11;2022-09-13;C1E0F6C4-8BA7-4DF6-9A01-58499C250393;9UCszgEACAAJ;GOOGLE_BOOKS;Das Buch der fünf Ringe / Das Buch der mit der Kriegskunst verwandten Traditionen;;http://books.google.de/books?id=9UCszgEACAAJ&dq=isbn:9783730610534&hl=&cd=1&source=gbs_api;BOOKSHELF;PAPERBACK;3730610538;9783730610534;2022-01-24;;;;;;192;de;;;;;;"Munenori,Yagyu;Musashi,Miyamoto";Anaconda Verlag;;;read;2022-09-11;2022-09-12
2022-12-01;2023-01-29;F66E84E8-E83A-408E-B69D-6F2B1B410E19;1329639;GOODREADS;Das Glasperlenspiel;;https://www.goodreads.com/book/show/1329639.Das_Glasperlenspiel;BOOKSHELF;PAPERBACK;3518365797;9783518365793;1972-06-23;"The final novel of Hermann Hesse, The Glass Bead Game is a fascinating tale of the complexity of modern life as well as a classic of modern literature.

Set in the twenty-third century, The Glass Bead Game is the story of Joseph Knecht, who has been raised in Castalia, the remote place his society has provided for the intellectual elite to grow and flourish. Since childhood, Knecht has been consumed with mastering the Glass Bead Game, which requires a synthesis of aesthetics and philosophy, which he achieves in adulthood, becoming a Magister Ludi (Master of the Game).";;;4.11;;612;;;;;;;Hesse,Hermann;Suhrkamp;;;read;2022-12-01;2022-12-10
2021-05-25;2021-05-30;3BC3DE3E-FE65-4CD0-B630-DF2EE52FEC52;owVntwEACAAJ;GOOGLE_BOOKS;Das Krypto-Jahrzehnt;;http://books.google.de/books?id=owVntwEACAAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;3864706009;9783864706004;2018-09-20;;;;;;208;de;;;;;;Küfner,Robert A.;Börsenbuchverlag;;;read;2021-05-25;2021-05-30
2023-05-13;2023-05-23;39B679CD-17E3-432B-BAFC-C1619FA452A3;3SI1cAAACAAJ;GOOGLE_BOOKS;Das Schloss;;http://books.google.de/books?id=3SI1cAAACAAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;3872912259;9783872912251;2010-01-01;;http://books.google.com/books/content?id=3SI1cAAACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72WuNUyZebtvbSvn-sxvI6DqzFlvchIYGhsRUf9RbqYWnYuKqykkFByZEB7k_3FQk8DmZvNxYPt31axBVRmGZtXiqiZA7CtmxlK4PobrTVSiQ10hcFJJeQmG0UWOY7zD0MOfii4&source=gbs_api;http://books.google.com/books/content?id=3SI1cAAACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72WuNUyZebtvbSvn-sxvI6DqzFlvchIYGhsRUf9RbqYWnYuKqykkFByZEB7k_3FQk8DmZvNxYPt31axBVRmGZtXiqiZA7CtmxlK4PobrTVSiQ10hcFJJeQmG0UWOY7zD0MOfii4&source=gbs_api;;;288;de;;;;;;Kafka,Franz;Hamburger-Lesehefte-Verlag;;;read;2023-05-13;2023-05-23
